Model,Language,PC1_Self_Expression,PC2_Secular_Rational
claude-3-7-sonnet-20250219,ar,2.779707176023561,-0.5474326423867796
claude-3-7-sonnet-20250219,en,4.329410101019507,0.535544807973684
claude-3-7-sonnet-20250219,es,4.175779371885158,0.25533668689351596
claude-3-7-sonnet-20250219,fr,2.7523149031374574,0.9777978609059573
claude-3-7-sonnet-20250219,ru,1.9952811812331883,0.5167784513004096
claude-3-7-sonnet-20250219,zh-cn,2.965466906943794,2.8550462266728514
claude-sonnet-4.5,ar,0.48421345210944433,1.6264012789297966
claude-sonnet-4.5,en,2.989489698525064,2.108042163219693
claude-sonnet-4.5,es,4.343940004264641,2.1792708050022114
claude-sonnet-4.5,fr,3.5008844963552375,2.184843245650925
claude-sonnet-4.5,ru,2.965466906943794,2.8550462266728514
claude-sonnet-4.5,zh-cn,1.7951813296566823,1.5986799131458016
deepseek-chat,ar,1.6936778775968637,-0.5300824873692443
deepseek-chat,en,2.6277639166731346,-0.43855562493372147
deepseek-chat,es,1.4246188682484626,0.38374395252029014
deepseek-chat,fr,2.2637021885460666,0.6053572481004639
deepseek-chat,ru,3.709877942680841,0.48491558452390604
deepseek-chat,zh-cn,4.94782582010252,-0.23565645866633447
deepseek-chat-v3.1,ar,2.0038390236043915,-0.4207137370793558
deepseek-chat-v3.1,en,4.44067085206048,-0.6101311180450364
deepseek-chat-v3.1,es,3.945684667853451,-0.4969759732162258
deepseek-chat-v3.1,fr,0.6720062895671775,0.30154334481435513
deepseek-chat-v3.1,ru,1.1581375874735929,1.5767130237776423
deepseek-chat-v3.1,zh-cn,3.6880582733791947,-0.6923317257509712
doubao-1-5-pro-32k-250115,ar,-1.4408965252665564,-1.2100370975098635
doubao-1-5-pro-32k-250115,en,2.821501277202679,-0.9355076540992459
doubao-1-5-pro-32k-250115,es,3.9832290121185876,1.2583508478075698
doubao-1-5-pro-32k-250115,fr,3.9832290121185876,1.2583508478075698
doubao-1-5-pro-32k-250115,ru,3.6339664180006186,0.33948508738333927
doubao-1-5-pro-32k-250115,zh-cn,2.858765814837576,0.19708335279466918
gemini-2.5-flash,ar,2.2263195496779726,1.268559213743587
gemini-2.5-flash,en,-0.7048169991756416,5.200148544713929
gemini-2.5-flash,es,2.291876716684935,-0.25411124724434947
gemini-2.5-flash,fr,4.128150234873706,-0.11362257085503921
gemini-2.5-flash,ru,2.0621885628828305,-1.5846169590660975
gemini-2.5-flash,zh-cn,4.76905411508435,-1.3067639819807244
gemini-2.5-pro,ar,1.7804819188547625,-0.3309123296755811
gemini-2.5-pro,en,3.1244488292456944,0.685843777707364
gemini-2.5-pro,es,1.437544942801011,2.1790174620767933
gemini-2.5-pro,fr,1.8406880381617037,1.7094571708693809
gemini-2.5-pro,ru,1.8406880381617037,1.7094571708693809
gemini-2.5-pro,zh-cn,2.267853925103666,0.4928928162088094
gemini-3-pro-preview,ar,-1.3126720905082512,-1.6398854990008023
gemini-3-pro-preview,en,0.4209174626204512,1.1832103010826933
gemini-3-pro-preview,es,2.0163222922151682,1.4421627189573973
gemini-3-pro-preview,fr,2.5212058823084957,2.2373055307601692
gemini-3-pro-preview,ru,1.0541552620128503,1.4659626699850228
gemini-3-pro-preview,zh-cn,1.0541552620128503,1.4659626699850228
gemma-3-4b-it,ar,-2.344620972907108,-0.4098374078884246
gemma-3-4b-it,en,1.1977296688852475,2.320612505250757
gemma-3-4b-it,es,0.5905216139030387,2.3297356436885273
gemma-3-4b-it,fr,-0.4066685839881268,2.4108602628793903
gemma-3-4b-it,ru,-2.9741453767504535,-0.013737162193943647
gemma-3-4b-it,zh-cn,-0.7721975886748046,1.7930064034660973
gpt-4o,ar,-0.4808482521811749,2.312577462445942
gpt-4o,en,0.8104692588883984,1.0540600970428273
gpt-4o,es,2.819721421997276,2.8154167937594847
